Player,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS,
J.R. Murphy,.314,20,51,3,16,1,0,1,8,2,14,0,0,0,0,0,.340,.392,.732,
Scott Sizemore,.313,6,16,3,5,2,0,0,4,0,8,0,0,0,0,0,.313,.438,.751,
Brendan Ryan,.310,15,29,2,9,0,0,0,2,0,6,0,0,0,0,0,.310,.310,.620,
Ichiro Suzuki,.309,47,94,14,29,4,0,0,7,10,18,4,1,0,1,1,.371,.351,.722,
Yangervis Solarte,.298,54,191,23,57,12,0,6,26,21,24,0,0,1,3,5,.366,.455,.821,
Jacoby Ellsbury,.286,57,217,29,62,13,2,3,25,24,43,18,2,0,3,1,.355,.406,.761,
Brett Gardner,.279,57,215,35,60,6,3,4,23,20,53,14,1,3,1,0,.345,.391,.736,
Derek Jeter,.257,51,206,16,53,5,1,1,12,16,35,1,0,2,0,3,.317,.306,.623,
Mark Teixeira,.241,40,141,21,34,3,0,10,27,23,37,0,1,0,0,4,.359,.475,.834,
Brian Roberts,.234,52,171,23,40,7,3,2,11,17,27,4,2,1,1,7,.305,.345,.650,
Alfonso Soriano,.233,54,189,21,44,14,0,6,20,6,58,0,0,0,4,3,.259,.402,.661,
Brian McCann,.230,54,191,22,44,6,0,7,24,13,27,0,0,0,0,2,.290,.372,.662,
Carlos Beltran,.229,34,131,14,30,10,0,5,15,9,23,1,0,0,2,2,.280,.420,.700,
Kelly Johnson,.221,47,122,9,27,6,2,4,14,11,33,2,0,0,0,1,.286,.402,.688,
Chase Whitley,.200,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,
Francisco Cervelli,.188,5,16,1,3,1,0,0,1,0,6,0,0,0,0,0,.235,.250,.485,
Zoilo Almonte,.158,9,19,1,3,0,0,1,1,0,9,1,0,0,0,0,.158,.316,.474,
Dean Anna,.136,12,22,3,3,1,0,1,3,2,6,0,0,0,1,0,.200,.318,.518,
Masahiro Tanaka,.111,3,9,0,1,0,0,0,0,0,5,0,0,0,0,0,.111,.111,.222,
David Phelps,.000,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,.000,.000,.000,
Hiroki Kuroda,.000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
C.C. Sabathia,.000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Austin Romine,.000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,
